mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.28045339584350587,0.045305668570654455,1.6771874904632569,0.08840852955209358,14,2,"{'n_neighbors': 14, 'p': 2}",-374.5920684575533,-398.7878577221643,-375.73943883463005,-370.0428405893064,-387.0668680682007,-381.245814734371,10.40871825789685,30,-357.1718436396893,-352.28956080563796,-355.1034061095616,-355.71389052115836,-354.6625402434886,-354.98824826390717,1.5935436292769678
0.2582592487335205,0.04178539045088745,1.4258491039276122,0.10954667144973704,15,1,"{'n_neighbors': 15, 'p': 1}",-346.72754026184674,-366.5613409029467,-347.20258014677484,-344.6458169177289,-356.06695249130934,-352.24084614412135,8.16309738859992,9,-330.4732848604232,-326.56660583413,-329.2537995094915,-331.3605468976305,-327.1505918930923,-328.96096579895345,1.8515541199226517
0.24909515380859376,0.0411040535903661,1.6721737384796143,0.13780309556640002,15,2,"{'n_neighbors': 15, 'p': 2}",-374.7244737960067,-400.94563009307535,-375.78804171494784,-371.05575125531095,-387.6682734646581,-382.0364340647998,10.975954394532167,34,-359.17632552166316,-353.92430308121624,-357.226072263098,-358.67487592453125,-356.6815479983779,-357.1366249577773,1.8471979929110953
0.24875664710998535,0.04354450507873354,1.4505727767944336,0.06290667628739706,16,1,"{'n_neighbors': 16, 'p': 1}",-346.5252071023056,-367.98519870235197,-348.15302723059096,-345.2157010428737,-357.7648971610661,-353.12880624783764,8.639315577132718,10,-332.76632158686016,-329.0607673589989,-330.75645964891953,-332.7634569984358,-329.0823695759226,-330.8858750338274,1.652984668767183
0.22166519165039061,0.012497423363139352,1.5582781791687013,0.10921518799222021,16,2,"{'n_neighbors': 16, 'p': 2}",-374.9538074962345,-401.04564940331363,-376.621567207416,-371.1069597334878,-388.76221755504054,-382.4980402790985,10.995079092120589,36,-360.66203180672636,-356.0090705657426,-359.33688481258326,-360.905223480679,-358.4126281791321,-359.0651677689727,1.7762402968597764
0.23842425346374513,0.025817772189040637,1.4964120864868165,0.18266625166121,17,1,"{'n_neighbors': 17, 'p': 1}",-346.30063314863656,-368.85263789213985,-348.854951946016,-345.9138913502829,-359.38657896530566,-353.8617386604762,8.951619147385305,11,-334.28831555217033,-331.25884840770414,-332.4570197350709,-334.6355998050689,-330.9501954422925,-332.7179957884614,1.514295015374024
0.22837615013122559,0.01996562734883215,1.4915847301483154,0.11567723838770397,17,2,"{'n_neighbors': 17, 'p': 2}",-375.16142904850506,-401.22905123119807,-376.91711539772336,-371.70197668870566,-390.17802467452805,-383.03751940813197,11.044503781307963,37,-362.18260155370047,-358.06138633431993,-361.2006785102084,-363.08922869304143,-359.9694244420437,-360.90066390666277,1.7579472569268335
0.2111894130706787,0.007043405290522373,1.3779382705688477,0.14056526042661546,18,1,"{'n_neighbors': 18, 'p': 1}",-347.06627917455165,-368.8543364358449,-349.78319814600235,-346.8891785760268,-360.4074546156817,-354.6000893896215,8.67557413556451,13,-336.4316969702822,-333.16767893295224,-334.28678169798326,-336.38033395773385,-332.8810404315445,-334.62950639809924,1.5247833286188022
0.22262468338012695,0.00579792394252304,1.7533969402313232,0.22947839931991615,18,2,"{'n_neighbors': 18, 'p': 2}",-376.58204920248716,-401.5461707797474,-377.78766576541784,-373.54315694605384,-391.9248100939874,-384.2767705575387,10.707496174938091,41,-363.83312573023187,-360.3873342796173,-363.10524045858034,-364.7674172347424,-360.87053666261124,-362.5927308731566,1.694711378465854
0.2542747497558594,0.04855781505734204,1.4712087631225585,0.17796282438541838,19,1,"{'n_neighbors': 19, 'p': 1}",-348.26015769350386,-369.8134204123447,-349.94726474355065,-346.683734829542,-361.7680490333598,-355.29452534246025,8.999178411584598,14,-338.4325879441804,-335.18315472351685,-336.7942989824948,-338.2896200439689,-334.7967291643163,-336.6992781716955,1.5139948499370461
0.21904897689819336,0.018549016658864284,1.6443061828613281,0.15747422020196286,19,2,"{'n_neighbors': 19, 'p': 2}",-378.0200684192233,-401.9263182286617,-378.4006586570714,-375.0513447581875,-393.59468805269256,-385.3986156231673,10.495912838615906,43,-365.097089643375,-362.13842680046776,-365.1190453684759,-366.3420351324403,-363.11886241877795,-364.36309187270734,1.5181354654984145
